Registracijos numeris,Registracijos data,docReklaminės veiklos subjektas (užsakovas),docReklaminės veiklos subjekto (užsakovo) buveinės adresas,docReklamos apmokestinamas plotas,docReklamos komisijos posėdžio data,docReklamos komisijos posėdžio protokolo Nr.,docReklamos leidimas galioja iki (data),docReklamos plotas (kv. m),docReklamos tipas,docReklamos turinys,docReklamos vykdytojas,docReklamos įrengimo adresas (gatvė),docReklamos įrengimo adresas (namo Nr.),docReklamos įrengimo adresas(seniūnija),docPastabos
A635-9(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,NAUJOMS PICOMS -60%,JCDecaux,T. Narbuto,.,Viršuliškių,
A635-11(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-12(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,LIETUVOS VYTIS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-15(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,SUPER NETTO. PIGU KASDIEN,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-16(2.3.2.1-TR3),1/6/2010,,,,,,,,"ANT STOTELĖS VITRINOS, SKYDŲ",RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-17(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,EAST ISLAND. SPA CENTRAI IR MASAŽO SALONAI,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-18(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,PANORAMA. GERŲ PIRKINIŲ MIESTAS,JCDecaux,Rinktinės / Šeimyniškių,.,Šnipiškių,
A635-19(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,PASAULIO KLASIKOS GENIJAI,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-20(2.3.2.1-TR3),1/6/2010,,,,,,,,"ANT STOTELĖS VITRINOS, SKYDŲ, KOLONŲ",ATVERK TEATRO DURIS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-21(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,ČIA PARDUODAMI NAUJI BUTAI,JCDecaux,Oslo,.,Lazdynų,
A635-22(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant viaduko,SU SUBARU - VISI KELIAI GERI!,UAB „ETN - BALTIC“,NARBUTO / UKMERGĖS,.,ŽVĖRYNO,
A635-23(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant viaduko,IKI. IŠLEIDŽIU MAŽIAU!,UAB „ETN - BALTIC“,Geležinio Vilko / J. Jasinskio,.,Naujamiesčio,
A635-6(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,„GIRILIS“ AUTOMOBILIŲ DALYS. SERVISAS,"UAB ,,GIRILIS""",J. KUBILIAUS,16,Žirmūnų,
A635-7(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,ŠOKIO IR JUDESIO PREKĖS,"UAB ,,KAMILLE DANCE""",Konstitucijos,6,Šnipiškių,
A635-4(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,OFFICE+,"UAB ""OFFICE PLUS""",Vilniaus,14,Senamiesčio,
A635-10(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,ALEXEI GRYNYUK,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-14(2.3.2.1-TR3),1/6/2010,,,,,,,,ANT STOTELĖS VITRINOS,DIENA SU LEDO RITULIU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-13(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant skydo,SEESAM,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-3(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,“N VAISTINĖ”,"UAB ""Vizualiniai projektai""",Šiaurės,37,Naujoji Vilnia,
A635-8(2.3.2.1-TR3),1/6/2010,,,,,,,,Ant kolonos,TU GALI!,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-1(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,"VETERINARIJOS GYDYKLA, VAISTINĖ","VIEŠOJI ĮSTAIGA ""NAUJOSIOS VILNIOS VETERINARIJOS GYDYKLA""",Parko,52,Naujoji Vilnia,
A635-2(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,TETE-A-TETE CASINO LOŠIMO AUTOMATŲ SALONAS,"UAB ,,ADMEN``",Antakalnio,71,Antakalnio,
A635-5(2.3.2.1-TR3),1/6/2010,,,,,,,,IVR ant pastato fasado,PZU LIETUVA,"UAB ,,PZU LIETUVA""",Eigulių,21,Vilkpėdės,
A635-24(2.3.2.1-TR3),1/8/2010,,,,,,,,Ant skydo,OZAS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-25(2.3.2.1-TR3),1/8/2010,,,,,,,,ANT STOTELĖS VITRINOS,"KODĖL IŠMETAME, JEI TŪKSTANČIAI SKURSTA",JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-27(2.3.2.1-TR3),1/8/2010,,,,,,,,Ant plakato,PRISMA,"UAB „Baltijos vaizdinė reklama""",Ozo / Gelvonų,.,Šeškinės,
A635-26(2.3.2.1-TR3),1/8/2010,,,,,,,,ANT STOTELĖS VITRINOS,ALICO,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-28(2.3.2.1-TR3),1/8/2010,,,,,,,,Ant plakato,PANORAMA. GERŲ PIRKINIŲ MIESTAS,"UAB „Baltijos vaizdinė reklama""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-29(2.3.2.1-TR3),1/12/2010,,,,,,,,IVR ant pastato fasado,MEDICINOS BANKAS,"UAB ,,FLAGMAN""",Sodų,22,Naujamiesčio,
A635-31(2.3.2.1-TR3),1/12/2010,,,,,,,,IVR ant pastato fasado,ODONTOLOGIJOS KLINIKA,UAB „DOVERTA“,Pylimo,51,Senamiesčio,"Išduoti leidimą iškabai su sąlyga, kad užrašai ant stiklo bus projektuojami iš vidinės stiklo pusės."
A635-32(2.3.2.1-TR3),1/12/2010,,,,,,,,IVR ant pastato fasado,SPORTO KLUBAS,"UAB ,,ŽVK``",Mindaugo,14B,Naujamiesčio,Išduoti leidimą konsolinei iškabai
A635-33(2.3.2.1-TR3),1/12/2010,,,,,,,,IVR ant pastato fasado,GENOCIDO AUKŲ MUZIEJUS / THE MUSEUM OF GENOCIDE VICTIMS,"UAB ,,ŽVK``",Aukų,2A,Naujoji Vilnia,Išduoti leidimą iškabai
A635-34(2.3.2.1-TR3),1/12/2010,,,,,,,,IVR ant pastato fasado,DURŲ SALONAS,"UAB ,,STEPALA""",Kalvarijų,125,Žirmūnų,Išduoti leidimą iškabai. Informaciją apie teikiamas paslaugas ir darbo laiką tvirtinti iš vidinės vitrinų stiklų pusės
A635-30(2.3.2.1-TR3),1/12/2010,,,,,,,,IVR ant pastato fasado,LIETUVOS MOKSLŲ AKADEMIJOS VRUBLEVSKIŲ BIBLIOTEKA,"UAB ""MYLIDOS"" REKLAMA",Žygimantų / T. Vrublevskio,8-Jan,Senamiesčio,
A635-39(2.3.2.1-TR3),1/13/2010,,,,,,,,IVR ant pastato fasado,WURTH,"UAB ""WURTH LIETUVA""",Pirklių,5,Panerių,
A635-35(2.3.2.1-TR3),1/13/2010,,,,,,,,IVR ant pastato fasado,ŽALIUZIŲ CENTRAS,"UAB ""Lauresta""",Verkių,29,Žirmūnų,
A635-38(2.3.2.1-TR3),1/13/2010,,,,,,,,IVR ant pastato fasado,KEBABAI,"UAB ,,SVEMA""",Verkių,50,ŽVĖRYNO,
A635-37(2.3.2.1-TR3),1/13/2010,,,,,,,,IVR ant pastato fasado,"AUTOMOBILIŲ ELEKTRIKAS, STARTERIŲ GENERATORIŲ REMONTAS",STANISLAV MARTINKEVIČ,Žolyno,26,Antakalnio,
A635-36(2.3.2.1-TR3),1/13/2010,,,,,,,,IVR ant pastato fasado,MOBILIEJI TELEFONAI,PAULIUS GURČINAS,Antakalnio,93,Antakalnio,
A635-40(2.3.2.1-TR3),1/13/2010,,,,,,,,IVR ant pastato fasado,KOVAS. BALDŲ FURNITŪRA,"UAB ,,DIZAINO FABRIKAS``",Savanorių,187,Vilkpėdės,
A635-43(2.3.2.1-TR3),1/15/2010,,,,,,,,Ant skydo,PIERRE CARDIN,JCDecaux,Geležinio Vilko / T. Narbuto,.,Šnipiškių,
A635-41(2.3.2.1-TR3),1/15/2010,,,,,,,,Ant viaduko,LAND CRUISER,UAB „ETN - BALTIC“,Ozo / Ukmergės,.,Šnipiškių,
A635-44(2.3.2.1-TR3),1/15/2010,,,,,,,,ANT STOTELĖS VITRINOS,IEŠKOMI SAVANORIAI,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-42(2.3.2.1-TR3),1/15/2010,,,,,,,,Ant plakato,LT ADVERT,"UAB „LT ADVERT""",Kalvarijų,204,Verkių,
A635-49(2.3.2.1-TR3),1/18/2010,,,,,,,,IVR ant pastato fasado,„WURTH“ MONTAVIMO PROFESIONALAS,"UAB ""WURTH LIETUVA""",Pirklių,5,Panerių,
A635-51(2.3.2.1-TR3),1/18/2010,,,,,,,,IVR ant pastato fasado,"PARODŲ ĮRANGA, DIZAINAS, LEIDYBA",UAB DABA EXPO,Antakalnio,28,Antakalnio,
A635-45(2.3.2.1-TR3),1/18/2010,,,,,,,,IVR ant pastato fasado,ID KAILINIAI,ID kailiniai,Laisvės,60,Viršuliškių,
A635-46(2.3.2.1-TR3),1/18/2010,,,,,,,,IVR ant pastato fasado,„VENIPAK“ SIUNTŲ TERMINALAS,"UAB ""VP SERVICE""",Vilkpėdės,4,Vilkpėdės,
A635-50(2.3.2.1-TR3),1/18/2010,,,,,,,,IVR ant pastato fasado,SUBARU,UAB „Japoniškų markių automobilių centras“,Verkių,39,Žirmūnų,
A635-47(2.3.2.1-TR3),1/18/2010,,,,,,,,IVR ant pastato fasado,„GELARA“ GROŽIO SALONAS,"IĮ ""SAVA REKLAMA""",Stirnų,32,ŽVĖRYNO,
A635-48(2.3.2.1-TR3),1/18/2010,,,,,,,,IVR ant pastato fasado,NORDIC,UAB „Solgar“,J. Basanavičiaus,25,Naujoji Vilnia,
A635-54(2.3.2.1-TR3),1/21/2010,,,,,,,,IVR ant pastato fasado,GRINDŲ TURGUS,UAB MEDŽIO APDAILA,Verkių,44,Žirmūnų,
A635-53(2.3.2.1-TR3),1/21/2010,,,,,,,,IVR ant pastato fasado,INFLEKS. MEDŽIO APDIRBIMO STAKLĖS,"UAB ""Infleks""",Metalo,4,Naujininkų,
A635-55(2.3.2.1-TR3),1/21/2010,,,,,,,,IVR ant pastato fasado,KARCHER PLOVIMO VALYMO ĮRANGA,"UAB ,,KARCHER""",Ukmergės,285,Fabijoniškių,
A635-52(2.3.2.1-TR3),1/21/2010,,,,,,,,IVR ant pastato fasado,GROŽIO SALONAS VIZIJA,"UAB „Rojumis""",Kalvarijų,27,Šnipiškių,
A635-56(2.3.2.1-TR3),1/21/2010,,,,,,,,IVR ant pastato fasado,„LIETUVOS DUJOS“ AKCINĖS BENDROVĖS“ LIETUVOS DUJOS“ VILNIAUS FILIALAS. CENTRINĖ KALIBRAVIMO BANDYMŲ LABORATORIJA. PARDAVIMŲ SKYRIUS. AB „LIETUVOS DUJOS“ TIEKIMO DEPARTAMENTO VILNIAUS SKYRIUS. AVARINĖ,"AB ""Lietuvos dujos"" Vilniaus filialas",Smolensko,5,Naujamiesčio,
A635-57(2.3.2.1-TR3),1/21/2010,,,,,,,,IVR ant pastato fasado,VIDAUS DURYS PREKYBA IŠ SANDĖLIO,"UAB ""VEKTECH""",Vilkpėdės,10,Vilkpėdės,
A635-62(2.3.2.1-TR3),1/22/2010,,,,,,,,ANT STOTELĖS VITRINOS,APGAUDINĖJAU DRAUGUS - APGAVAU SAVE,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-58(2.3.2.1-TR3),1/22/2010,,,,,,,,ANT STOTELĖS VITRINOS,"JEIGU MANOTE, KAD TAI YRA PER PURVINA",JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-59(2.3.2.1-TR3),1/22/2010,,,,,,,,Ant skydo,SPA VILNIUS SANA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-64(2.3.2.1-TR3),1/22/2010,,,,,,,,"ANT STOTELĖS VITRINOS, SKYDŲ",JYSK KAINOS MAŽĖJA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-65(2.3.2.1-TR3),1/22/2010,,,,,,,,ANT STOTELĖS VITRINOS,SUPER NETTO. PIGU KASDIEN,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-71(2.3.2.1-TR3),1/22/2010,,,,,,,,Ant autobuso,TEKA,"UAB ""Ž. W. K. TRANSPORTAS""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-72(2.3.2.1-TR3),1/22/2010,,,,,,,,Ant skydo,KILIMAI ŽVĖRYNE,"UAB ""Dalila ir partneriai""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-60(2.3.2.1-TR3),1/22/2010,,,,,,,,ANT STOTELĖS VITRINOS,CIRKAS MAMA AFRIKA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-61(2.3.2.1-TR3),1/22/2010,,,,,,,,ANT STOTELĖS VITRINOS,LIETUVOS NACIONALINĖ FILHARMONIJA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-69(2.3.2.1-TR3),1/22/2010,,,,,,,,ANT STOTELĖS VITRINOS,NAUJAS ALUS-SENA ISTORIJA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-67(2.3.2.1-TR3),1/22/2010,,,,,,,,,,,,,,
A635-68(2.3.2.1-TR3),1/22/2010,,,,,,,,ANT STOTELĖS VITRINOS,ALICO,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-66(2.3.2.1-TR3),1/22/2010,,,,,,,,,,,,,,
A635-70(2.3.2.1-TR3),1/22/2010,,,,,,,,Ant stendo,ALICO,"UAB „Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-73(2.3.2.1-TR3),1/22/2010,,,,,,,,Ant skydo,DVIRATIS,"UAB ""Dalila ir partneriai""",Žirmūnų,28,Žirmūnų,
A635-63(2.3.2.1-TR3),1/22/2010,,,,,,,,"ANT STOTELĖS VITRINOS, KOLONOS",BOHEMA,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-74(2.3.2.1-TR3),1/25/2010,,,,,,,,Ant plakato,MINIMALI KAINA,"UAB „Baltijos vaizdinė reklama""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-75(2.3.2.1-TR3),1/26/2010,,,,,,,,IVR ant pastato fasado,ŠEIMOS CENTRAS. ŽVĖRYNO KLINIKA,"UAB ""Multiplex""",Elnių / Stirnų,27 / 28,ŽVĖRYNO,
A635-78(2.3.2.1-TR3),1/26/2010,,,,,,,,IVR ant pastato fasado,EURO CAVE. VYNO LAIKYMO SISTEMOS,"UAB „Darija""",Metalo,2,Naujininkų,
A635-76(2.3.2.1-TR3),1/26/2010,,,,,,,,IVR ant pastato fasado,PASAULIO DRABUŽIAI,IĮ A. Palskio įmonė,M. K. Čiurlionio,82,Naujamiesčio,
A635-81(2.3.2.1-TR3),1/26/2010,,,,,,,,Ant viaduko,ALISA STEBUKLŲ ŠALYJE,UAB „ETN - BALTIC“,NARBUTO / UKMERGĖS,.,Viršuliškių,
A635-82(2.3.2.1-TR3),1/26/2010,,,,,,,,Ant skydo,DANIJA; PASKUTINIS IŠPARDAVIMAS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-77(2.3.2.1-TR3),1/26/2010,,,,,,,,IVR ant pastato fasado,ARDO. BILIARDO KLUBAS,"UAB ""CURO""",Gedimino,28-Feb,Naujininkų,
A635-79(2.3.2.1-TR3),1/26/2010,,,,,,,,IVR ant pastato fasado,"UŽEIGA; FINNSA; GESINIMO ĮRANGA, METALO DIRBINIAI","UAB ,,FINNSA""",Savanorių,"139, 139B, 139C",Viršuliškių,
A635-80(2.3.2.1-TR3),1/26/2010,,,,,,,,IVR ant pastato fasado,"MANOVITA; MOKYKLINĖS UNIFORMOS, APRANGA TARNAUTOJAMS, PROGINIAI DRABUŽIAI; DRABUŽIŲ SIUVIMAS IR TAISYMAS","UAb""Manovita""",H. Manto / Rinktinės,6 / 48,Šnipiškių,
A635-85(2.3.2.1-TR3),1/27/2010,,,,,,,,IVR ant pastato fasado,„DPS ADVERTISING“ SKAITMENINĖ SPAUDA IR REKLAMOS GAMYBA,"UAB""DPS ADVERTISING""",Metalo,6A,Naujininkų,
A635-83(2.3.2.1-TR3),1/27/2010,,,,,,,,Ant skydo,„FAVORIT“ KOKYBĖ UŽ TEISINGĄ KAINĄ! „MAXIMA“ APIE VISKĄ PAGALVOTA,MAXIMA LT UAB,Sausio 13-osios,1,Karoliniškių,
A635-86(2.3.2.1-TR3),1/27/2010,,,,,,,,IVR ant pastato fasado,AUTOSERVISAS; RATLANKIŲ LYGINIMAS,UAB „Diglita“,Panerių,37,Naujininkų,
A635-84(2.3.2.1-TR3),1/27/2010,,,,,,,,IVR ant pastato fasado,LOMBARDAS,"UAB ""MONTES AURE""",Stepono Batoro,154,Naujoji Vilnia,
A635-89(2.3.2.1-TR3),1/28/2010,,,,,,,,Ant skydo,MAXIMA,JCDecaux,Laisvės,.,Karoliniškių,
A635-87(2.3.2.1-TR3),1/28/2010,,,,,,,,Ant skydo,PRISMA; VISADA ŽEMOS KAINOS,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-88(2.3.2.1-TR3),1/28/2010,,,,,,,,Ant skydo,RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-92(2.3.2.1-TR3),1/28/2010,,,,,,,,ANT STOTELĖS VITRINOS,DAVIS CUP,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-93(2.3.2.1-TR3),1/28/2010,,,,,,,,ANT STOTELĖS VITRINOS,SUPER NETTO. PIGU KASDIEN,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-90(2.3.2.1-TR3),1/28/2010,,,,,,,,ANT STOTELĖS VITRINOS,PINIGAI SMULKMENOMS GALI IŠGELBĖTI GYVYBĘ,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-97(2.3.2.1-TR3),1/28/2010,,,,,,,,IVR ant pastato fasado,CHEMINĖ VALYKLA,ANTON VJALICIN,Savanorių,22,Naujamiesčio,
A635-91(2.3.2.1-TR3),1/28/2010,,,,,,,,Ant skydo,AMBER TRIP,"UAB ""Dalila ir partneriai""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-94(2.3.2.1-TR3),1/28/2010,,,,,,,,Ant skydo,RIMI NEREIKIA MOKĖTI DAUGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-95(2.3.2.1-TR3),1/28/2010,,,,,,,,IVR ant pastato fasado,ODONTOLOGIJOS KLINIKA,"UAB ,,DIZAINO FABRIKAS""",Žalgirio / Kaltanėnų,109 / 15,Šnipiškių,
A635-98(2.3.2.1-TR3),1/28/2010,,,,,,,,IVR ant pastato fasado,SENAMIESČIO KRAUTUVĖ,"UAB ""ARGORAS""",Literatų,5,Senamiesčio,
A635-96(2.3.2.1-TR3),1/28/2010,,,,,,,,IVR ant pastato fasado,AIKIDO AIKIKAI CENTRAS „SŪKURYS“ AIKIDO AIKIKAI ASOCIACIJA,AIDAS ARKUŠAUSKAS,Šeimyniškių,44,Šnipiškių,
A635-99(2.3.2.1-TR3),1/29/2010,,,,,,,,IVR ant pastato fasado,AUTOMOBILIŲ REMONTAS,"UAB ,,KEITVA"" IR KO",Ukmergės / Šeškinės,156A,Šeškinės,
A635-102(2.3.2.1-TR3),1/29/2010,,,,,,,,IVR ant pastato fasado,EFFECTUS; MOTERŲ SPORTO KLUBAS,UAB „EFFECTUS“,Laisvės,60,Viršuliškių,
A635-105(2.3.2.1-TR3),1/29/2010,,,,,,,,IVR ant pastato fasado,JYSK; PUIKUS PASIRINKIMAS,"UAB „LT ADVERT""",Kauno,204A,Verkių,
A635-106(2.3.2.1-TR3),1/29/2010,,,,,,,,IVR ant pastato fasado,ODONTOLOGIJOS KLINIKA,"UAB ""ŽVK""",Vytauto,46,ŽVĖRYNO,
A635-101(2.3.2.1-TR3),1/29/2010,,,,,,,,Ant plakato,CHARLIE PIZZA,"UAB „Baltijos vaizdinė reklama""",T. Narbuto,.,ŽVĖRYNO,
A635-104(2.3.2.1-TR3),1/29/2010,,,,,,,,IVR ant pastato fasado,PAREX BANKAS,AB PAREX bankas,Gedimino,26,Naujamiesčio,
A635-100(2.3.2.1-TR3),1/29/2010,,,,,,,,Ant plakato,PRISMA; VISADA ŽEMOS KAINOS,"UAB „Baltijos vaizdinė reklama""",Ozo / Gelvonų,.,Šeškinės,
A635-103(2.3.2.1-TR3),1/29/2010,,,,,,,,IVR ant pastato fasado,PAREX BANKAS,AB PAREX bankas,L. Asanavičiūtės,29,Karoliniškių,
A635-107(2.3.2.1-TR3),1/29/2010,,,,,,,,ANT STOTELĖS VITRINOS,C GATES,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-109(2.3.2.1-TR3),2/1/2010,,,,,,,,IVR ant pastato fasado,MEISTRAS IR MARGARITA,"UAB ""Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-110(2.3.2.1-TR3),2/1/2010,,,,,,,,Ant stendo,ŠIRDIES RIKSMAS,"UAB ""Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-111(2.3.2.1-TR3),2/1/2010,,,,,,,,Ant stendo,11-ASIS SEZONAS,"UAB ""Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-112(2.3.2.1-TR3),2/1/2010,,,,,,,,Ant skydo,DIONISAS,"UAB ""Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-113(2.3.2.1-TR3),2/1/2010,,,,,,,,Ant skydo,MAXIMA,UAB „JCDecaux Lietuva“,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-114(2.3.2.1-TR3),2/1/2010,,,,,,,,ANT STOTELĖS VITRINOS,KARTU STATYTI PIGIAU,JCDecaux,ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-108(2.3.2.1-TR3),2/1/2010,,,,,,,,Ant stendo,KAUNAS,"UAB ""Clear Channel Lietuva""",ĮVAIRIOS GATVĖS,.,ĮVAIRIOS SENIŪNIJOS,
A635-115(2.3.2.1-TR3),2/1/2010,,,,,,,,Ant skydo,SORPO,JCDecaux,NARBUTO / LAISVĖS,.,Karoliniškių,
A635-118(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant skydo,OZAS. PIRK IR LAIMĖK,"UAB ""JCDecaux Lietuva""",Įvairios gatvės,",",Įvairios seniūnijos,
A635-129(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant pastato fasado,ODONTOLOGIJOS KABINETAS,R. Kruopienės individuali įmonė,Jogailos,7,Naujamiesčio,
A635-130(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant pastato fasado,CUKRINIAI AVINĖLIAI,"E.ŠTIKONO ĮMONĖ ""SALTORĖ""",Pylimo,22D,Senamiesčio,
A635-116(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant stotelės vitrinos,MAJOR AMBER MODELS,UAB „JCDecaux Lietuva“,Įvairios gatvės,.,Įvairios seniūnijos,
A635-119(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant skydo,PRISMA VISADA ŽEMOS KAINOS,UAB „JCDecaux Lietuva“,Įvairios gatvės,",",Įvairios seniūnijos,
A635-117(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant stotelės vitrinos,SUPER NETO PIGU KASDIEN,"UAB ""JCDecaux Lietuva""",Įvairios gatvės,.,Įvairios seniūnijos,
A635-131(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant pastato fasado,HANSA FLEX HIDRAULINĖS JUNGTYS,UAB „HANSA FLEX HIDRAULINĖS JUNGTYS“,Lentvario,1,Naujamiesčio,
A635-124(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant skydo,SORPO MEDICINOS TYRIMAI,UAB „JCDecaux Lietuva“,Įvairios gatvės,",",Įvairios seniūnijos,
A635-121(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant skydo,RIMI NEREIKIA MOKĖTI DAUGIAU,"UAB ""JCDecaux Lietuva""",Įvairios gatvės,",",Įvairios seniūnijos,
A635-122(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant stotelės vitrinos,MOLLER`S SVEIKATA IŠ JŪROS GELMIŲ,"UAB ""JCDecaux Lietuva""",Įvairios gatvės,",",Ivairios seniūnijos,
A635-125(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant pastato fasado,STATYBOS INOVACIJA,"UAB ""Statybos inovacija""",Lvovo,12,Šnipiškių,
A635-120(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant skydo,JYSK PUIKUS PASIRINKIMAS,"UAB ""JCDecaux Lietuva""",Įvairios gatvės,",",Įvairios seniūnijos,
A635-126(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant pastato fasado,SEESAM DRAUDIMO BENDROVĖ,"UABD ""Seesam Lietuva""",Verkių,23,Žirmūnų,
A635-127(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant pastato fasado,PREKYBOS CENTRAS IKI,UAB „Palink“,Šeškinės,22,Šeškinė,
A635-123(2.3.2.1-TR3),2/4/2010,,,,,,,,Ant stotelės vitrinos,RAIMONDS PAULS SESUO KERĖ,UAB „JCDecaux Lietuva“,Įvairios gatvės,",",Įvairios seniūnijos,
